297,-1,1240.7,170.2,208.2,635.2,1.0
297,-1,837.7,178.9,180.7,563.9,1.0
297,-1,1063.9,205.3,187.9,554.2,1.0
297,-1,379.1,123.1,274.4,765.4,1.0
297,-1,33.8,114.3,305.4,821.9,1.0
297,-1,1789.5,903.7,39.1,75.6,0.999
297,-1,761.1,282.0,97.8,266.4,0.999
297,-1,720.9,319.8,50.8,146.5,0.999
111,-1,688.5,394.2,70.4,172.1,1.0
111,-1,1086.0,301.5,192.9,468.5,1.0
111,-1,770.6,227.6,211.5,654.1,1.0
111,-1,423.1,348.0,108.1,366.6,1.0
111,-1,1589.9,364.6,50.0,139.4,1.0
111,-1,1278.8,389.8,48.7,126.9,1.0
111,-1,959.1,323.6,100.3,337.9,0.999
111,-1,1874.9,387.3,35.1,104.3,0.956
450,-1,1159.3,131.3,316.7,846.1,1.0
450,-1,704.2,198.5,176.4,534.9,1.0
450,-1,929.3,220.6,140.0,443.4,1.0
450,-1,596.6,306.8,109.1,261.9,1.0
450,-1,546.6,308.6,65.4,211.2,0.999
450,-1,1105.2,309.8,83.8,244.8,0.998
432,-1,1061.8,132.5,338.6,845.2,1.0
432,-1,692.4,207.6,178.3,542.5,1.0
432,-1,882.9,236.2,137.3,436.4,1.0
432,-1,1.0,1.0,506.0,1080.0,1.0
432,-1,594.0,324.1,102.3,233.5,1.0
432,-1,522.2,323.2,64.5,185.0,0.998
43,-1,921.5,265.5,208.7,690.3,1.0
43,-1,327.1,363.6,181.6,481.7,1.0
43,-1,570.8,356.1,145.1,487.8,1.0
43,-1,1122.9,361.0,158.1,437.0,1.0
43,-1,806.7,455.2,42.8,138.0,1.0
43,-1,848.3,434.7,58.0,157.2,1.0
43,-1,910.7,452.0,35.4,113.7,0.129
352,-1,1156.5,131.3,282.2,728.7,1.0
352,-1,786.0,189.2,198.7,552.7,1.0
352,-1,591.5,235.2,153.4,400.0,1.0
352,-1,949.7,212.1,128.7,446.3,0.999
352,-1,1074.9,323.6,73.9,194.7,0.996
32,-1,392.7,320.9,151.2,429.3,1.0
32,-1,890.6,195.1,231.1,688.3,1.0
32,-1,577.7,314.0,140.9,423.1,1.0
32,-1,790.3,394.4,45.5,134.9,1.0
32,-1,837.3,378.8,51.2,150.2,1.0
32,-1,1093.2,291.9,166.6,435.4,1.0
32,-1,1517.5,362.2,49.8,134.9,0.995
32,-1,1807.2,386.6,29.3,106.2,0.985
103,-1,714.3,241.5,224.8,670.0,1.0
103,-1,1036.5,315.2,198.3,468.6,1.0
103,-1,645.9,413.5,62.6,165.1,1.0
103,-1,394.6,359.6,98.8,353.4,1.0
103,-1,922.3,338.4,103.3,336.6,1.0
103,-1,1520.3,379.1,49.1,138.7,1.0
103,-1,1239.8,404.5,46.3,122.4,0.999
103,-1,1793.3,398.9,41.2,111.3,0.999
419,-1,1125.4,157.5,271.2,811.4,1.0
419,-1,747.6,217.8,177.8,532.1,1.0
419,-1,224.9,1.0,417.9,1080.0,1.0
419,-1,643.0,335.3,87.7,215.5,1.0
419,-1,1029.3,336.7,99.7,227.1,1.0
419,-1,888.8,238.9,142.3,445.6,1.0
